,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,19365,7485,Male,Loyal Customer,52,Business travel,Business,925,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0.0,satisfied
1,24819,635,Male,disloyal Customer,55,Business travel,Business,158,5,5,5,3,3,5,3,3,4,5,5,4,5,3,1,0.0,satisfied
2,21187,23302,Male,Loyal Customer,52,Business travel,Business,2053,4,4,4,4,2,1,5,4,4,4,4,4,4,2,28,20.0,satisfied
3,5771,55996,Male,disloyal Customer,22,Business travel,Eco,2586,4,4,4,1,4,5,5,3,5,5,4,5,3,5,177,225.0,satisfied
4,8828,15836,Male,Loyal Customer,16,Personal Travel,Eco,1148,1,5,1,1,5,1,5,5,3,4,5,4,5,5,0,0.0,neutral or dissatisfied
5,4898,23914,Female,disloyal Customer,43,Business travel,Eco,189,4,3,5,3,1,5,1,1,3,5,3,3,4,1,12,20.0,neutral or dissatisfied
6,24121,51989,Male,Loyal Customer,35,Personal Travel,Eco Plus,347,3,4,2,3,1,2,1,1,3,3,2,2,5,1,0,0.0,neutral or dissatisfied
7,4404,5448,Male,Loyal Customer,24,Business travel,Business,1809,3,3,3,3,3,3,3,3,1,3,4,2,3,3,0,0.0,neutral or dissatisfied
8,14012,99181,Female,Loyal Customer,37,Business travel,Business,462,2,5,5,5,2,4,3,2,2,2,2,4,2,4,10,7.0,neutral or dissatisfied
9,24874,47968,Male,Loyal Customer,35,Personal Travel,Eco,462,1,4,1,3,5,1,5,5,4,5,3,2,5,5,0,0.0,neutral or dissatisfied
10,8,27508,Male,Loyal Customer,47,Business travel,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,satisfied
11,25447,119344,Male,Loyal Customer,56,Business travel,Business,214,3,1,3,3,2,5,5,4,4,4,4,5,4,4,0,55.0,satisfied
12,21560,74022,Female,disloyal Customer,16,Business travel,Eco,1333,5,5,5,1,3,5,3,3,3,4,4,3,5,3,0,0.0,satisfied
13,24363,122904,Female,Loyal Customer,53,Business travel,Business,2721,3,5,5,5,4,4,3,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
14,10913,106042,Male,Loyal Customer,31,Business travel,Business,1862,4,4,4,4,4,4,4,4,3,4,4,4,5,4,10,9.0,satisfied
15,4550,45931,Female,Loyal Customer,16,Personal Travel,Eco,809,2,4,2,3,4,2,4,4,4,1,4,1,4,4,0,0.0,neutral or dissatisfied
16,5080,37465,Female,Loyal Customer,39,Business travel,Business,1076,2,2,2,2,3,3,2,4,4,4,4,5,4,2,0,0.0,satisfied
17,8084,88618,Male,Loyal Customer,47,Personal Travel,Eco,404,1,1,1,1,4,1,4,4,4,3,2,2,2,4,0,0.0,neutral or dissatisfied
18,1161,93139,Female,Loyal Customer,29,Business travel,Business,1791,3,3,3,3,5,5,5,5,5,4,5,5,4,5,9,0.0,satisfied
19,6204,66814,Female,Loyal Customer,29,Business travel,Business,731,2,2,2,2,4,4,4,4,5,3,5,4,5,4,0,0.0,satisfied
20,19936,45490,Female,Loyal Customer,70,Personal Travel,Eco,522,4,3,5,1,3,1,2,2,2,5,2,4,2,4,0,0.0,neutral or dissatisfied
21,14319,126170,Female,Loyal Customer,25,Business travel,Business,3866,1,3,3,3,1,1,1,1,1,2,3,2,3,1,0,1.0,neutral or dissatisfied
22,5232,66235,Male,Loyal Customer,36,Business travel,Business,2836,3,3,3,3,2,5,3,5,5,5,5,4,5,4,1,6.0,satisfied
23,5442,104221,Male,disloyal Customer,37,Business travel,Eco,680,4,3,3,3,5,3,5,5,2,1,3,1,4,5,0,0.0,neutral or dissatisfied
24,11581,81953,Female,Loyal Customer,57,Business travel,Business,1532,1,1,1,1,5,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
25,16089,76357,Female,Loyal Customer,32,Personal Travel,Eco,1851,3,1,3,2,4,3,4,4,4,5,3,4,2,4,1,0.0,neutral or dissatisfied
26,18792,51859,Male,Loyal Customer,37,Business travel,Eco Plus,438,2,5,4,5,2,2,2,2,4,2,4,2,4,2,0,0.0,neutral or dissatisfied
27,15834,19089,Male,Loyal Customer,31,Business travel,Eco,296,0,0,0,2,5,0,5,5,3,1,1,3,2,5,0,0.0,satisfied
28,15419,63574,Male,Loyal Customer,16,Personal Travel,Eco Plus,1737,3,3,3,4,1,3,1,1,4,2,4,2,3,1,0,0.0,neutral or dissatisfied
29,8818,42815,Female,Loyal Customer,27,Personal Travel,Eco,896,2,5,1,5,1,1,1,1,4,3,4,4,4,1,0,0.0,neutral or dissatisfied
30,17531,112518,Male,Loyal Customer,12,Personal Travel,Eco,967,2,4,1,2,1,3,1,4,3,5,4,1,4,1,131,134.0,neutral or dissatisfied
31,14261,31872,Male,Loyal Customer,46,Business travel,Business,4983,1,1,1,1,4,4,4,1,3,5,5,4,3,4,0,0.0,satisfied
32,24696,26789,Male,disloyal Customer,22,Business travel,Eco,226,4,0,4,1,3,4,3,3,2,5,4,3,5,3,0,0.0,satisfied
33,416,15197,Male,disloyal Customer,19,Business travel,Eco,461,3,3,3,4,3,5,4,4,5,4,4,4,4,4,141,121.0,neutral or dissatisfied
34,9422,5646,Male,Loyal Customer,57,Personal Travel,Business,147,3,5,3,5,4,5,4,2,2,3,2,2,2,1,14,7.0,neutral or dissatisfied
35,8875,116080,Female,Loyal Customer,33,Personal Travel,Eco,296,1,4,1,3,5,1,5,5,3,4,4,3,5,5,20,19.0,neutral or dissatisfied
36,17088,45035,Female,Loyal Customer,35,Business travel,Business,837,1,3,3,3,1,4,4,1,1,1,1,3,1,3,32,47.0,neutral or dissatisfied
37,13412,119761,Female,Loyal Customer,50,Personal Travel,Eco Plus,1303,1,4,2,2,2,3,5,4,4,2,3,4,4,3,10,0.0,neutral or dissatisfied
38,5363,75690,Male,Loyal Customer,54,Business travel,Business,2409,1,1,1,1,2,5,5,5,5,5,5,5,5,5,0,0.0,satisfied
39,2984,122486,Male,Loyal Customer,19,Personal Travel,Eco,808,2,3,2,5,2,2,2,2,2,4,3,4,3,2,0,0.0,neutral or dissatisfied
40,3113,66158,Female,Loyal Customer,27,Business travel,Business,550,1,1,3,1,3,3,3,3,4,2,4,5,4,3,0,0.0,satisfied
41,4020,47362,Male,Loyal Customer,59,Business travel,Eco,599,3,2,2,2,3,3,3,3,1,4,3,4,3,3,0,0.0,neutral or dissatisfied
42,7754,114325,Male,Loyal Customer,58,Personal Travel,Eco,948,4,2,4,4,2,4,2,2,4,2,2,1,3,2,0,0.0,neutral or dissatisfied
43,12304,38503,Male,Loyal Customer,32,Business travel,Business,2586,5,5,5,5,4,4,4,4,4,4,4,5,1,4,0,0.0,satisfied
44,21077,43611,Female,Loyal Customer,60,Business travel,Business,190,2,2,2,2,2,4,1,5,5,5,3,2,5,4,0,0.0,satisfied
45,12476,9462,Male,Loyal Customer,68,Personal Travel,Eco,362,2,4,2,3,1,2,1,1,3,4,5,3,4,1,24,30.0,neutral or dissatisfied
46,796,51948,Male,disloyal Customer,30,Business travel,Business,347,3,3,3,3,4,3,4,4,4,1,3,1,3,4,0,0.0,neutral or dissatisfied
47,19768,76301,Female,Loyal Customer,24,Business travel,Business,2182,2,2,2,2,3,4,3,3,5,5,4,3,4,3,2,0.0,satisfied
48,6099,14299,Female,Loyal Customer,42,Business travel,Business,3923,1,1,1,1,4,3,3,2,2,2,2,3,2,1,0,1.0,satisfied
49,11352,36834,Male,Loyal Customer,57,Business travel,Business,2640,3,1,4,4,3,3,3,3,3,3,3,4,3,3,0,14.0,neutral or dissatisfied
50,18327,120154,Female,disloyal Customer,17,Business travel,Eco,1091,5,5,5,2,5,3,3,5,2,5,4,3,3,3,0,7.0,satisfied
51,11386,70007,Male,Loyal Customer,33,Personal Travel,Eco,236,1,4,1,1,3,1,3,3,5,3,4,4,5,3,0,11.0,neutral or dissatisfied
52,18262,5461,Male,Loyal Customer,47,Personal Travel,Eco,265,2,3,2,3,2,2,2,2,1,2,3,4,2,2,0,0.0,neutral or dissatisfied
53,20067,22536,Male,Loyal Customer,28,Personal Travel,Eco Plus,143,3,5,3,2,2,3,2,2,4,2,5,3,1,2,46,36.0,neutral or dissatisfied
54,6628,77799,Female,Loyal Customer,52,Personal Travel,Eco,731,1,5,1,2,4,3,4,4,4,1,4,2,4,2,0,0.0,neutral or dissatisfied
55,7789,51575,Female,Loyal Customer,39,Business travel,Eco,370,4,2,2,2,4,4,4,4,2,3,3,4,3,4,15,12.0,neutral or dissatisfied
56,6394,21184,Female,Loyal Customer,27,Business travel,Business,2134,4,4,4,4,5,5,5,5,5,2,5,4,2,5,51,40.0,satisfied
57,24832,121669,Female,Loyal Customer,25,Business travel,Business,1872,2,2,2,2,4,4,4,4,5,4,3,5,1,4,0,0.0,satisfied
58,16142,42039,Female,Loyal Customer,19,Business travel,Business,106,1,1,1,1,5,5,4,5,4,2,5,4,2,5,0,3.0,satisfied
59,18228,109238,Male,Loyal Customer,19,Personal Travel,Eco,616,1,1,1,3,1,1,1,1,4,5,3,1,3,1,0,0.0,neutral or dissatisfied
60,15922,108833,Male,Loyal Customer,36,Business travel,Business,1199,2,5,5,5,4,4,4,2,2,2,2,2,2,1,0,0.0,neutral or dissatisfied
61,14389,56838,Female,disloyal Customer,41,Business travel,Eco Plus,1605,2,2,2,3,1,2,1,1,3,5,3,3,3,1,26,18.0,neutral or dissatisfied
62,13369,65597,Male,Loyal Customer,37,Business travel,Business,3581,3,3,3,3,3,3,4,3,3,3,3,2,3,3,10,19.0,neutral or dissatisfied
63,4035,60554,Female,Loyal Customer,60,Business travel,Eco Plus,641,3,5,5,5,3,3,3,3,2,4,3,3,4,3,132,121.0,neutral or dissatisfied
64,20809,92985,Male,Loyal Customer,31,Business travel,Business,2576,5,5,3,5,4,4,4,5,3,4,5,4,4,4,233,229.0,satisfied
65,16576,110570,Female,Loyal Customer,51,Business travel,Business,488,2,2,2,2,2,5,4,5,5,5,5,3,5,5,27,28.0,satisfied
66,3483,20779,Male,disloyal Customer,34,Business travel,Eco,515,2,4,2,2,1,2,1,1,3,4,3,4,3,1,0,0.0,neutral or dissatisfied
67,2663,10884,Female,Loyal Customer,36,Business travel,Business,2700,2,2,4,2,2,3,4,2,2,2,2,2,2,2,2,0.0,neutral or dissatisfied
68,2805,92566,Male,Loyal Customer,29,Business travel,Business,2139,5,5,5,5,4,4,4,4,3,5,3,4,4,4,0,0.0,satisfied
69,9525,109966,Female,Loyal Customer,22,Personal Travel,Eco,1011,2,2,3,4,1,3,5,1,4,3,4,3,4,1,3,0.0,neutral or dissatisfied
70,4580,120101,Male,Loyal Customer,39,Business travel,Business,1576,4,4,4,4,2,4,5,5,5,5,5,3,5,5,0,,satisfied
71,15241,102358,Male,Loyal Customer,46,Business travel,Business,223,0,4,0,3,4,4,4,1,1,1,1,3,1,4,4,0.0,satisfied
72,1114,128930,Male,Loyal Customer,51,Business travel,Business,2241,3,3,3,3,4,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
73,17261,108230,Female,Loyal Customer,43,Business travel,Business,3328,2,2,2,2,4,4,5,4,4,4,4,5,4,3,0,6.0,satisfied
74,24313,127567,Female,disloyal Customer,42,Business travel,Eco,1082,4,4,4,3,1,4,1,1,4,5,3,2,4,1,0,0.0,neutral or dissatisfied
75,12144,64905,Male,Loyal Customer,33,Business travel,Business,2566,4,4,5,5,4,4,4,4,1,4,3,1,4,4,0,0.0,neutral or dissatisfied
76,4405,94369,Female,Loyal Customer,39,Business travel,Business,3609,1,1,1,1,2,4,5,5,5,5,5,4,5,4,0,1.0,satisfied
77,74,41440,Female,disloyal Customer,26,Business travel,Eco Plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,neutral or dissatisfied
78,25831,124022,Male,Loyal Customer,25,Personal Travel,Eco,184,1,3,1,4,3,1,3,3,1,3,3,4,4,3,0,0.0,neutral or dissatisfied
79,23317,15043,Male,disloyal Customer,24,Business travel,Eco,576,4,2,4,3,3,4,3,3,2,4,4,2,3,3,54,52.0,neutral or dissatisfied
80,14423,46137,Male,Loyal Customer,52,Business travel,Eco,604,4,5,5,5,4,4,4,4,1,2,4,4,5,4,0,0.0,satisfied
81,11480,99366,Male,Loyal Customer,36,Personal Travel,Eco,409,2,2,2,3,3,2,3,3,4,3,3,2,4,3,0,0.0,neutral or dissatisfied
82,23709,86298,Female,Loyal Customer,66,Personal Travel,Eco,356,4,5,3,4,2,1,3,1,1,3,1,3,1,4,6,0.0,neutral or dissatisfied
83,175,97762,Male,Loyal Customer,19,Personal Travel,Eco,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,neutral or dissatisfied
84,23060,100684,Female,Loyal Customer,23,Business travel,Eco,889,3,3,3,3,3,3,2,3,3,4,4,1,3,3,12,15.0,neutral or dissatisfied
85,8316,101098,Female,Loyal Customer,36,Business travel,Business,758,2,2,1,2,5,4,5,2,2,2,2,3,2,3,0,0.0,satisfied
86,24421,78353,Male,Loyal Customer,46,Business travel,Business,1547,3,3,3,3,3,5,5,3,3,3,3,3,3,5,1,0.0,satisfied
87,6863,24947,Female,Loyal Customer,27,Business travel,Business,1747,5,5,5,5,5,4,5,5,5,2,3,1,5,5,14,0.0,satisfied
88,11371,86510,Male,Loyal Customer,21,Personal Travel,Eco,762,3,2,3,3,4,3,4,4,2,1,4,3,3,4,22,23.0,neutral or dissatisfied
89,4568,70384,Female,Loyal Customer,39,Business travel,Business,1562,4,4,4,4,4,4,4,4,4,5,4,3,4,3,0,19.0,satisfied
90,5276,109302,Male,Loyal Customer,27,Business travel,Business,1136,3,2,3,3,5,5,5,5,3,4,4,5,4,5,0,0.0,satisfied
91,1972,49734,Female,Loyal Customer,65,Business travel,Eco,308,2,4,4,4,5,4,3,1,1,2,1,1,1,3,0,0.0,neutral or dissatisfied
92,25827,114871,Male,disloyal Customer,36,Business travel,Business,337,4,4,4,3,2,4,4,2,5,5,4,4,5,2,34,27.0,neutral or dissatisfied
93,18777,42077,Female,Loyal Customer,33,Business travel,Eco Plus,116,5,3,3,3,5,5,5,5,3,2,3,4,3,5,0,0.0,satisfied
94,9389,85178,Female,Loyal Customer,39,Business travel,Business,2523,5,4,5,5,3,4,4,5,5,5,5,4,5,4,0,2.0,satisfied
95,3890,28193,Female,Loyal Customer,7,Personal Travel,Eco,834,3,3,3,1,1,3,1,1,4,3,2,1,1,1,0,0.0,neutral or dissatisfied
96,2353,66140,Male,Loyal Customer,68,Personal Travel,Eco,583,3,4,3,4,3,3,3,3,4,4,5,3,4,3,144,149.0,neutral or dissatisfied
97,9412,100643,Female,Loyal Customer,25,Personal Travel,Eco,349,3,5,1,5,3,1,3,3,5,4,2,4,1,3,0,25.0,neutral or dissatisfied
98,1032,61313,Female,Loyal Customer,59,Business travel,Business,1605,2,2,4,2,5,5,4,5,5,5,5,5,5,3,3,0.0,satisfied
99,7797,45924,Male,disloyal Customer,36,Business travel,Eco,513,2,0,2,5,2,2,2,2,4,1,3,5,1,2,0,0.0,neutral or dissatisfied
100,13196,36973,Female,Loyal Customer,34,Business travel,Eco,667,3,4,4,4,3,3,3,3,3,2,4,1,3,3,19,14.0,neutral or dissatisfied
101,18593,110691,Female,Loyal Customer,22,Personal Travel,Eco,829,2,4,3,2,5,3,5,5,5,3,4,3,5,5,61,51.0,neutral or dissatisfied
102,17800,92296,Female,Loyal Customer,37,Personal Travel,Eco,1814,3,5,3,1,3,3,3,3,4,4,3,4,5,3,0,0.0,neutral or dissatisfied
103,25236,11020,Male,Loyal Customer,41,Business travel,Eco,140,4,2,2,2,4,4,4,4,4,2,4,3,5,4,0,0.0,satisfied
104,16459,76398,Male,Loyal Customer,32,Personal Travel,Eco,931,2,5,2,3,1,2,5,1,5,3,4,4,5,1,6,0.0,neutral or dissatisfied
105,7635,48943,Female,Loyal Customer,38,Business travel,Business,2290,5,5,5,5,1,5,3,5,5,5,5,4,5,5,0,0.0,satisfied
106,17535,92931,Female,disloyal Customer,42,Business travel,Eco,134,2,0,2,4,4,2,4,4,1,4,1,3,3,4,0,0.0,neutral or dissatisfied
107,10005,87262,Female,Loyal Customer,35,Business travel,Eco,577,3,3,3,3,3,3,3,3,2,2,3,4,4,3,26,12.0,neutral or dissatisfied
108,15718,35624,Male,Loyal Customer,63,Personal Travel,Eco Plus,1035,3,1,3,4,2,3,2,2,1,4,4,1,3,2,0,65.0,neutral or dissatisfied
109,24800,115061,Male,disloyal Customer,36,Business travel,Business,447,2,2,2,5,5,2,5,5,3,2,5,4,4,5,8,1.0,neutral or dissatisfied
110,20724,69882,Female,Loyal Customer,42,Business travel,Business,2248,5,5,5,5,5,5,4,5,5,5,5,5,5,4,0,0.0,satisfied
111,6820,50219,Male,Loyal Customer,53,Business travel,Eco,78,3,2,2,2,3,3,3,3,2,3,4,4,4,3,0,0.0,neutral or dissatisfied
112,7483,27747,Male,Loyal Customer,34,Business travel,Business,1448,1,1,1,1,5,4,4,4,4,4,4,3,4,2,17,0.0,satisfied
113,14061,128325,Female,disloyal Customer,32,Business travel,Business,338,2,2,2,4,4,2,4,4,4,4,4,5,4,4,0,0.0,neutral or dissatisfied
114,25819,58570,Female,Loyal Customer,47,Personal Travel,Business,403,1,5,1,2,4,5,4,3,3,1,4,5,3,4,12,1.0,neutral or dissatisfied
115,15794,92183,Female,Loyal Customer,56,Business travel,Business,1979,1,1,1,1,5,3,5,5,5,5,5,3,5,3,0,15.0,satisfied
116,563,44102,Male,Loyal Customer,46,Business travel,Business,473,1,1,1,1,4,1,4,5,5,5,5,5,5,3,0,0.0,satisfied
117,17534,92743,Female,Loyal Customer,54,Personal Travel,Eco,1276,2,4,1,1,2,3,5,3,3,1,3,4,3,5,0,0.0,neutral or dissatisfied
118,3256,95589,Female,Loyal Customer,34,Business travel,Business,822,2,2,2,2,5,5,5,5,5,5,5,5,5,5,6,0.0,satisfied
119,2842,109608,Female,Loyal Customer,46,Business travel,Business,973,4,5,3,5,2,3,4,4,4,3,4,1,4,2,23,27.0,neutral or dissatisfied
120,5621,102049,Female,Loyal Customer,44,Business travel,Business,2600,1,4,4,4,1,4,4,3,3,3,1,1,3,2,8,11.0,neutral or dissatisfied
121,11329,74163,Male,Loyal Customer,46,Personal Travel,Eco,641,4,4,4,3,1,4,1,1,3,5,5,5,5,1,0,0.0,satisfied
122,24264,117095,Male,disloyal Customer,34,Business travel,Eco,369,3,0,4,2,3,4,3,3,3,4,3,1,3,3,0,0.0,neutral or dissatisfied
123,10426,28683,Female,Loyal Customer,48,Personal Travel,Eco,2777,4,3,4,4,4,4,3,3,3,4,3,3,3,2,0,0.0,satisfied
124,2963,104552,Male,Loyal Customer,39,Business travel,Business,3322,3,4,4,4,1,4,3,3,3,3,3,4,3,2,40,40.0,neutral or dissatisfied
125,16679,80931,Female,Loyal Customer,22,Personal Travel,Eco,341,2,5,2,3,1,2,1,1,4,3,5,4,4,1,0,5.0,neutral or dissatisfied
126,4613,14201,Male,Loyal Customer,27,Business travel,Eco,620,0,0,0,1,2,5,1,2,2,2,2,1,2,2,0,1.0,satisfied
127,8955,123037,Female,disloyal Customer,43,Business travel,Business,650,4,4,4,1,5,4,5,5,5,3,4,3,4,5,0,0.0,neutral or dissatisfied
128,1438,84682,Female,disloyal Customer,59,Business travel,Eco,682,3,3,3,1,2,3,2,2,3,5,1,1,2,2,0,4.0,neutral or dissatisfied
129,9886,70696,Male,Loyal Customer,51,Business travel,Eco Plus,447,3,2,5,2,3,3,3,3,4,1,2,5,3,3,0,1.0,satisfied
130,11889,24198,Male,Loyal Customer,53,Business travel,Eco,147,3,4,4,4,3,3,3,3,4,5,3,3,4,3,0,13.0,neutral or dissatisfied
131,1113,105253,Male,Loyal Customer,43,Business travel,Business,2106,1,1,1,1,3,5,5,4,4,4,4,5,4,4,5,0.0,satisfied
132,15770,111365,Female,Loyal Customer,44,Business travel,Business,1050,3,3,3,3,3,4,5,5,5,5,5,5,5,3,21,55.0,satisfied
133,11150,19817,Male,Loyal Customer,30,Business travel,Business,3236,5,4,5,4,5,4,5,5,3,5,3,4,3,5,23,17.0,neutral or dissatisfied
134,18223,118394,Male,Loyal Customer,52,Business travel,Business,2287,2,5,5,5,1,2,2,2,2,2,2,3,2,4,0,0.0,neutral or dissatisfied
135,6786,120719,Female,Loyal Customer,55,Business travel,Business,90,3,3,3,3,4,4,5,5,5,5,5,3,5,5,0,0.0,satisfied
136,801,127821,Male,Loyal Customer,60,Personal Travel,Eco,1262,1,4,1,1,5,1,5,5,3,3,4,4,4,5,0,0.0,neutral or dissatisfied
137,15079,89347,Female,disloyal Customer,60,Business travel,Eco,1587,1,1,1,3,2,1,2,2,3,3,3,2,3,2,0,11.0,neutral or dissatisfied
138,11366,84699,Female,Loyal Customer,51,Business travel,Business,547,4,4,4,4,2,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
139,5408,121476,Male,Loyal Customer,48,Personal Travel,Eco,331,3,4,3,1,1,3,1,1,5,5,1,4,2,1,0,0.0,neutral or dissatisfied
140,3337,58928,Male,Loyal Customer,16,Personal Travel,Eco,888,4,4,4,4,2,4,4,2,5,5,4,5,4,2,0,0.0,satisfied
141,20390,70321,Male,Loyal Customer,20,Personal Travel,Eco,1501,5,4,5,5,4,5,4,4,3,5,5,1,4,4,0,0.0,satisfied
142,22919,74006,Female,Loyal Customer,8,Personal Travel,Eco,1972,3,3,4,3,4,4,4,4,3,5,4,3,3,4,0,7.0,neutral or dissatisfied
143,12832,83815,Male,Loyal Customer,46,Business travel,Business,425,4,4,4,4,2,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
144,6815,126784,Male,disloyal Customer,27,Business travel,Business,2125,2,2,2,4,3,2,5,3,5,2,5,3,5,3,0,0.0,neutral or dissatisfied
145,20083,77356,Male,disloyal Customer,25,Business travel,Business,626,3,4,2,5,2,2,2,2,3,5,4,4,5,2,0,0.0,neutral or dissatisfied
146,19062,97477,Male,Loyal Customer,53,Business travel,Business,756,3,3,3,3,4,4,5,4,4,4,4,5,4,3,18,4.0,satisfied
147,24500,6243,Female,Loyal Customer,46,Business travel,Business,3509,4,4,4,4,3,3,3,4,4,4,4,1,4,5,0,0.0,satisfied
148,3925,114332,Female,Loyal Customer,69,Personal Travel,Eco,862,4,4,4,2,2,4,4,4,4,4,4,5,4,5,8,9.0,neutral or dissatisfied
149,17265,6975,Female,Loyal Customer,32,Business travel,Business,436,5,5,5,5,4,4,4,4,5,5,4,4,4,4,17,10.0,satisfied
150,2381,14352,Male,Loyal Customer,16,Personal Travel,Eco,429,3,5,3,3,1,3,1,1,2,5,2,5,4,1,0,0.0,neutral or dissatisfied
151,23225,64687,Female,Loyal Customer,49,Business travel,Business,224,3,3,3,3,4,5,5,5,5,5,5,4,5,3,46,34.0,satisfied
152,7404,84440,Female,Loyal Customer,47,Business travel,Business,1574,5,5,5,5,4,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
153,24735,89887,Female,disloyal Customer,45,Business travel,Business,1416,4,4,4,4,3,4,3,3,5,5,5,4,5,3,0,0.0,satisfied
154,8311,124125,Female,Loyal Customer,51,Business travel,Business,2145,1,1,1,1,3,4,3,5,5,5,3,1,5,2,10,1.0,satisfied
155,15988,101561,Female,disloyal Customer,37,Business travel,Eco Plus,345,2,2,2,3,3,2,3,3,3,3,4,3,4,3,44,36.0,neutral or dissatisfied
156,15898,64346,Male,Loyal Customer,23,Business travel,Business,1172,4,4,4,4,4,5,4,4,3,2,5,5,4,4,0,0.0,satisfied
157,12433,126391,Male,Loyal Customer,70,Personal Travel,Eco,590,2,4,2,5,5,2,5,5,5,2,4,3,4,5,0,0.0,neutral or dissatisfied
158,4159,65357,Male,Loyal Customer,47,Business travel,Business,3250,3,2,3,3,2,5,4,3,3,4,3,4,3,3,18,8.0,satisfied
159,4435,49178,Male,Loyal Customer,58,Business travel,Eco,304,3,3,3,3,3,3,3,3,3,2,4,4,4,3,0,0.0,satisfied
160,1900,85830,Male,Loyal Customer,67,Personal Travel,Eco,666,4,3,3,2,5,3,4,5,2,5,4,5,1,5,14,13.0,neutral or dissatisfied
161,2542,36097,Male,Loyal Customer,63,Personal Travel,Eco,399,2,4,2,4,5,2,1,5,5,2,5,4,5,5,0,0.0,neutral or dissatisfied
162,15047,109935,Male,Loyal Customer,69,Personal Travel,Eco,1052,1,4,1,4,5,1,2,5,3,4,5,3,4,5,70,58.0,neutral or dissatisfied
163,15877,28327,Female,Loyal Customer,28,Business travel,Business,2675,3,3,3,3,4,4,4,4,5,3,2,4,4,4,0,0.0,satisfied
